main_id,ra,dec,plx_value
"""HD 195867A""",308.9408933816799,-47.77615466253,3.1162
"""Gaia DR3 6674350350164540416""",308.8211833755,-47.71086411969,1.3391
"""TYC 8410-515-1""",308.82147613443,-47.72106013210999,2.0735
"""HD 195867B""",308.93989081880994,-47.77568996050001,3.1303
"""2MASX J20344990-4743240""",308.70797733638,-47.72329780752,0.5312
"""TYC 8410-187-1""",308.89212881001,-47.689395731830004,1.8679
"""Gaia DR3 6674355710282853760""",308.51075514199,-47.74798435307,0.8161
"""UCAC2  11445820""",309.05427282131996,-47.66491580238,1.6569
"""HD 195583""",308.53971598833994,-47.58312729693001,12.0095
"""TYC 8410-1118-1""",308.5096298159,-47.5751382761,0.5
"""TYC 8410-1131-1""",309.02024532228,-47.64183062040001,0.6904
"""Gaia DR3 6674377803595429248""",308.98614552108,-47.47661176852,8.9248
"""UCAC2  11445822""",309.06155284262,-47.550556150789994,0.6694
"""HD 195933""",309.03166083117,-47.55465329612,6.5693
"""Gaia DR3 6674377837955191296""",309.0003116552999,-47.44926345577001,0.9707
"""UCAC2  11445780""",308.9455805559,-47.61376693858,0.3041
"""UCAC2  11670453""",309.36120477113,-47.4375346659,1.1203
"""TYC 8410-985-1""",308.91118290945,-47.45936518162,1.9262
"""TYC 8410-1101-1""",308.83080025926,-47.35335301835,2.1291
